representation,null_model,scope_type,scope_name,n_observed,iterations_used,observed_median,null_median,null_mean,null_std,null_min,null_max,p_value_perm
R1,WORK,WORK,NAH,47,5000,0.05303248785635262,0.5111658573150635,0.5114187000870705,0.012891072717933109,0.4670562744140625,0.5599914193153381,0.0001999600079984003
R1,WORK,WORK,NEH,406,5000,0.06496140356040359,0.4793570786714554,0.47936553801298143,0.004531452155758686,0.46271994709968567,0.4960183799266815,0.0001999600079984003
R1,WORK,WORK,NUM,1288,5000,0.05458779219694121,0.47922079265117645,0.47923183980584144,0.0026699096200656367,0.4705943763256073,0.4888949394226074,0.0001999600079984003
R1,WORK,WORK,OBA,21,5000,0.07561436731644167,0.4393194317817688,0.4388244254946709,0.017691718957095464,0.37210559844970703,0.4939849376678467,0.0001999600079984003
R1,WORK,WORK,PHM,25,5000,0.06737675955975486,0.3993467688560486,0.4009450619339943,0.017865050185218192,0.34182655811309814,0.5020264387130737,0.0001999600079984003
R1,WORK,WORK,PHP,104,5000,0.04855786026805364,0.4357447475194931,0.43612665820121765,0.009274122008503244,0.4072893261909485,0.4678116738796234,0.0001999600079984003
R1,WORK,WORK,PRO,915,5000,0.0544721321861531,0.5024887323379517,0.502509763944149,0.0032373515077187822,0.49148476123809814,0.5150576829910278,0.0001999600079984003
R1,WORK,WORK,PSA,2461,5000,0.053897785221679095,0.484835147857666,0.48483888175487516,0.0021665206897834573,0.47714656591415405,0.49210309982299805,0.0001999600079984003
R1,WORK,WORK,REV,404,5000,0.05078898631683265,0.4984823912382126,0.49860617395639417,0.004602705330646698,0.48435041308403015,0.5158535242080688,0.0001999600079984003
R1,WORK,WORK,ROM,433,5000,0.055315436203204116,0.4644153118133545,0.46428672906160356,0.004133530310887824,0.44978904724121094,0.4782205820083618,0.0001999600079984003
R1,WORK,WORK,RUT,85,5000,0.05115913343034306,0.44669878482818604,0.4462625566959381,0.01065462240348579,0.4059396982192993,0.48209285736083984,0.0001999600079984003
R1,WORK,WORK,SNG,117,5000,0.06793377033221648,0.5147842764854431,0.5144570637464523,0.009217373041867923,0.48207801580429077,0.5463081002235413,0.0001999600079984003
R1,WORK,WORK,TIT,46,5000,0.052521885669503,0.4603297859430313,0.4604814791202545,0.013855118668642879,0.4089597165584564,0.512732744216919,0.0001999600079984003
R1,WORK,WORK,ZEC,211,5000,0.061953613495860926,0.46544185280799866,0.4656516545534134,0.006749358470997284,0.439483106136322,0.4894838333129883,0.0001999600079984003
R1,WORK,WORK,ZEP,53,5000,0.057799863869099966,0.4575822353363037,0.4575479662179947,0.013867395786862571,0.4072452783584595,0.5047650933265686,0.0001999600079984003
R1,WORK_GROUP,WORK_GROUP,NT_SHARED,7957,1000,0.060094775867548966,0.5006192624568939,0.5006453813910484,0.000999920947681748,0.4971693158149719,0.5034886002540588,0.000999000999000999
R1,WORK_GROUP,WORK_GROUP,OT_SHARED,23145,1000,0.05886522499131441,0.5039069354534149,0.5039038146734238,0.0005983772140533775,0.502038836479187,0.5058385133743286,0.000999000999000999
R1,CANON,CANON,ALL_SHARED,31102,500,0.05915852562468393,0.5083830952644348,0.5083696843385697,0.0005073921007693415,0.5067936182022095,0.5101028680801392,0.001996007984031936
