scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,threshold_primary,threshold_secondary,threshold_source,small_sample_flag,mad_zero_flag,percentile_method
WORK,1JN,R1,105,0.0807429870068646,0.0352504782097325,0.2009684727039759,0.2177941649094253,0.2177941649094253,0.2009684727039759,WORK,False,False,HF_TYPE_7
WORK,1KI,R0,816,0.0607067412705565,0.0281174011658991,0.1471697863256086,0.2134238491198039,0.2134238491198039,0.1471697863256086,WORK,False,False,HF_TYPE_7
WORK,1KI,R1,816,0.0607067412705565,0.0281174011658991,0.1471697863256086,0.2134238491198039,0.2134238491198039,0.1471697863256086,WORK,False,False,HF_TYPE_7
WORK,1PE,R0,105,0.0551173488776118,0.0242885471543889,0.1508743635188615,0.1950868502873471,0.1950868502873471,0.1508743635188615,WORK,False,False,HF_TYPE_7
WORK,1PE,R1,105,0.0551173488776118,0.0242885471543889,0.1508743635188615,0.1950868502873471,0.1950868502873471,0.1508743635188615,WORK,False,False,HF_TYPE_7
WORK,1SA,R0,810,0.0654429415941209,0.0368094810358505,0.1939952732916444,0.2543100235259803,0.2543100235259803,0.1939952732916444,WORK,False,False,HF_TYPE_7
WORK,1SA,R1,810,0.0654429415941209,0.0368094810358505,0.1939952732916444,0.2543100235259803,0.2543100235259803,0.1939952732916444,WORK,False,False,HF_TYPE_7
WORK,1TH,R0,89,0.069589581505126,0.029365121299366,0.1777962178538115,0.3114588778178616,0.3114588778178616,0.1777962178538115,WORK,False,False,HF_TYPE_7
WORK,1TH,R1,89,0.069589581505126,0.029365121299366,0.1777962178538115,0.3114588778178616,0.3114588778178616,0.1777962178538115,WORK,False,False,HF_TYPE_7
WORK,1TI,R0,113,0.048831813839494,0.0266526626967295,0.1381268719093453,0.2439872446320028,0.2439872446320028,0.1381268719093453,WORK,False,False,HF_TYPE_7
WORK,1TI,R1,113,0.048831813839494,0.0266526626967295,0.1381268719093453,0.2439872446320028,0.2439872446320028,0.1381268719093453,WORK,False,False,HF_TYPE_7
WORK,2CH,R0,822,0.064736655599045,0.0290449355933436,0.1608023572188025,0.2156992211395015,0.2156992211395015,0.1608023572188025,WORK,False,False,HF_TYPE_7
WORK,2CH,R1,822,0.064736655599045,0.0290449355933436,0.1608023572188025,0.2156992211395015,0.2156992211395015,0.1608023572188025,WORK,False,False,HF_TYPE_7
WORK,2CO,R0,257,0.0561668380441586,0.0295728866545501,0.1765156917175364,0.2574882529560191,0.2574882529560191,0.1765156917175364,WORK,False,False,HF_TYPE_7
WORK,2CO,R1,257,0.0561668380441586,0.0295728866545501,0.1765156917175364,0.2574882529560191,0.2574882529560191,0.1765156917175364,WORK,False,False,HF_TYPE_7
WORK,2JN,R0,13,0.0917951300022965,0.0385066105000797,0.2200784193920886,0.2572649112330196,0.2073149615025356,0.18806165625249574,WORK,True,False,HF_TYPE_7
WORK,2JN,R1,13,0.0917951300022965,0.0385066105000797,0.2200784193920886,0.2572649112330196,0.2073149615025356,0.18806165625249574,WORK,True,False,HF_TYPE_7
WORK,2KI,R0,719,0.059807846315606,0.0284064066673299,0.1574881551780614,0.2042283105495926,0.2042283105495926,0.1574881551780614,WORK,False,False,HF_TYPE_7
WORK,2KI,R1,719,0.059807846315606,0.0284064066673299,0.1574881551780614,0.2042283105495926,0.2042283105495926,0.1574881551780614,WORK,False,False,HF_TYPE_7
WORK,2PE,R0,61,0.0666633475042819,0.0283098732982221,0.1640285042271768,0.2335590167723484,0.2335590167723484,0.1640285042271768,WORK,False,False,HF_TYPE_7
WORK,2PE,R1,61,0.0666633475042819,0.0283098732982221,0.1640285042271768,0.2335590167723484,0.2335590167723484,0.1640285042271768,WORK,False,False,HF_TYPE_7
WORK,2SA,R0,695,0.0780269403098786,0.0410638514441233,0.2042033708550034,0.2628056201398644,0.2628056201398644,0.2042033708550034,WORK,False,False,HF_TYPE_7
WORK,2SA,R1,695,0.0780269403098786,0.0410638514441233,0.2042033708550034,0.2628056201398644,0.2628056201398644,0.2042033708550034,WORK,False,False,HF_TYPE_7
WORK,2TH,R0,47,0.0685482206602109,0.0306017054413613,0.1673174954497634,0.2457712304888089,0.16035333698429483,0.14505248426361417,WORK,True,False,HF_TYPE_7
